,Unnamed: 0,Region,Municipality,Construction Materials,Total Occupied Housing Units,Roof: Galvanized iron/aluminum,Roof: Tile/concrete/clay tile,Roof: Half galvanized iron and half concrete,Roof: Bamboo/cogon/ nipa/anahaw,Roof: Asbestos,Roof:Makeshift/ salvaged/ improvised materials,Roof:Trapal,Roof: Others,Roof: Not Reported,coordinates,Latitude,Longitude,Distance,Material Categories,Elevation
6040,6040,REGION III - CENTRAL LUZON,SAN MARCELINO,Not Reported,22.0,22.0,,,,,,,,,"[14.97381, 120.1562867]",14.97381,120.1562867,-10.0,Not reported,40.0
6041,6041,REGION III - CENTRAL LUZON,SAN NARCISO,Total,7038.0,6179.0,29.0,315.0,481.0,4.0,11.0,13.0,6.0,,"[15.0155166, 120.0793689]",15.0155166,120.0793689,-3.0,Total,15.0
6042,6042,REGION III - CENTRAL LUZON,SAN NARCISO,Concrete/brick/stone,5138.0,4944.0,27.0,152.0,10.0,4.0,1.0,,,,"[15.0155166, 120.0793689]",15.0155166,120.0793689,-3.0,Concrete,15.0
6043,6043,REGION III - CENTRAL LUZON,SAN NARCISO,Wood,276.0,226.0,1.0,4.0,44.0,,,1.0,,,"[15.0155166, 120.0793689]",15.0155166,120.0793689,-3.0,Wood,15.0
6044,6044,REGION III - CENTRAL LUZON,SAN NARCISO,Half concrete/brick/stone and half wood,593.0,422.0,1.0,137.0,29.0,,,1.0,3.0,,"[15.0155166, 120.0793689]",15.0155166,120.0793689,-3.0,Mixed,15.0
6045,6045,REGION III - CENTRAL LUZON,SAN NARCISO,Galvanized iron/aluminum,22.0,18.0,,2.0,1.0,,,1.0,,,"[15.0155166, 120.0793689]",15.0155166,120.0793689,-3.0,Metal,15.0
6046,6046,REGION III - CENTRAL LUZON,SAN NARCISO,Bamboo/sawali/cogon/nipa,896.0,491.0,,19.0,380.0,,1.0,2.0,3.0,,"[15.0155166, 120.0793689]",15.0155166,120.0793689,-3.0,Traditional,15.0
6047,6047,REGION III - CENTRAL LUZON,SAN NARCISO,Asbestos,1.0,1.0,,,,,,,,,"[15.0155166, 120.0793689]",15.0155166,120.0793689,-3.0,Makeshift/none,15.0
6048,6048,REGION III - CENTRAL LUZON,SAN NARCISO,Glass,,,,,,,,,,,"[15.0155166, 120.0793689]",15.0155166,120.0793689,-3.0,Mixed,15.0
6049,6049,REGION III - CENTRAL LUZON,SAN NARCISO,Makeshift/salvaged/improvised materials,41.0,30.0,,,3.0,,8.0,,,,"[15.0155166, 120.0793689]",15.0155166,120.0793689,-3.0,Makeshift/none,15.0
6050,6050,REGION III - CENTRAL LUZON,SAN NARCISO,Trapal,37.0,16.0,,,12.0,,1.0,8.0,,,"[15.0155166, 120.0793689]",15.0155166,120.0793689,-3.0,Makeshift/none,15.0
6051,6051,REGION III - CENTRAL LUZON,SAN NARCISO,Others,5.0,3.0,,,2.0,,,,,,"[15.0155166, 120.0793689]",15.0155166,120.0793689,-3.0,Others,15.0
6052,6052,REGION III - CENTRAL LUZON,SAN NARCISO,No walls,,,,,,,,,,,"[15.0155166, 120.0793689]",15.0155166,120.0793689,-3.0,Makeshift/none,15.0
6053,6053,REGION III - CENTRAL LUZON,SAN NARCISO,Not Reported,29.0,28.0,,1.0,,,,,,,"[15.0155166, 120.0793689]",15.0155166,120.0793689,-3.0,Not reported,15.0
6054,6054,REGION III - CENTRAL LUZON,SANTA CRUZ,Total,13680.0,11014.0,195.0,1020.0,1345.0,,33.0,51.0,16.0,6.0,"[15.7626076, 119.910005]",15.7626076,119.910005,-2.0,Total,8.0
6055,6055,REGION III - CENTRAL LUZON,SANTA CRUZ,Concrete/brick/stone,8371.0,7980.0,187.0,174.0,25.0,,1.0,1.0,3.0,,"[15.7626076, 119.910005]",15.7626076,119.910005,-2.0,Concrete,8.0
6056,6056,REGION III - CENTRAL LUZON,SANTA CRUZ,Wood,715.0,511.0,,100.0,97.0,,2.0,4.0,1.0,,"[15.7626076, 119.910005]",15.7626076,119.910005,-2.0,Wood,8.0
6057,6057,REGION III - CENTRAL LUZON,SANTA CRUZ,Half concrete/brick/stone and half wood,1656.0,941.0,6.0,668.0,38.0,,1.0,2.0,,,"[15.7626076, 119.910005]",15.7626076,119.910005,-2.0,Mixed,8.0
6058,6058,REGION III - CENTRAL LUZON,SANTA CRUZ,Galvanized iron/aluminum,274.0,252.0,2.0,12.0,8.0,,,,,,"[15.7626076, 119.910005]",15.7626076,119.910005,-2.0,Metal,8.0
6059,6059,REGION III - CENTRAL LUZON,SANTA CRUZ,Bamboo/sawali/cogon/nipa,2386.0,1149.0,,58.0,1138.0,,7.0,24.0,4.0,6.0,"[15.7626076, 119.910005]",15.7626076,119.910005,-2.0,Traditional,8.0
6060,6060,REGION III - CENTRAL LUZON,SANTA CRUZ,Asbestos,,,,,,,,,,,"[15.7626076, 119.910005]",15.7626076,119.910005,-2.0,Makeshift/none,8.0
6061,6061,REGION III - CENTRAL LUZON,SANTA CRUZ,Glass,,,,,,,,,,,"[15.7626076, 119.910005]",15.7626076,119.910005,-2.0,Mixed,8.0
6062,6062,REGION III - CENTRAL LUZON,SANTA CRUZ,Makeshift/salvaged/improvised materials,119.0,71.0,,1.0,19.0,,19.0,8.0,1.0,,"[15.7626076, 119.910005]",15.7626076,119.910005,-2.0,Makeshift/none,8.0
6063,6063,REGION III - CENTRAL LUZON,SANTA CRUZ,Trapal,46.0,19.0,,,11.0,,3.0,12.0,1.0,,"[15.7626076, 119.910005]",15.7626076,119.910005,-2.0,Makeshift/none,8.0
6064,6064,REGION III - CENTRAL LUZON,SANTA CRUZ,Others,37.0,21.0,,1.0,9.0,,,,6.0,,"[15.7626076, 119.910005]",15.7626076,119.910005,-2.0,Others,8.0
6065,6065,REGION III - CENTRAL LUZON,SANTA CRUZ,No walls,,,,,,,,,,,"[15.7626076, 119.910005]",15.7626076,119.910005,-2.0,Makeshift/none,8.0
6066,6066,REGION III - CENTRAL LUZON,SANTA CRUZ,Not Reported,76.0,70.0,,6.0,,,,,,,"[15.7626076, 119.910005]",15.7626076,119.910005,-2.0,Not reported,8.0
6067,6067,REGION III - CENTRAL LUZON,SUBIC,Total,24760.0,20769.0,510.0,1142.0,1845.0,4.0,263.0,185.0,7.0,35.0,"[14.8774796, 120.2344695]",14.8774796,120.2344695,2.0,Total,23.0
6068,6068,REGION III - CENTRAL LUZON,SUBIC,Concrete/brick/stone,17752.0,16986.0,481.0,192.0,77.0,3.0,5.0,6.0,2.0,,"[14.8774796, 120.2344695]",14.8774796,120.2344695,2.0,Concrete,23.0
6069,6069,REGION III - CENTRAL LUZON,SUBIC,Wood,1537.0,995.0,15.0,177.0,196.0,,120.0,34.0,,,"[14.8774796, 120.2344695]",14.8774796,120.2344695,2.0,Wood,23.0
6070,6070,REGION III - CENTRAL LUZON,SUBIC,Half concrete/brick/stone and half wood,2376.0,1539.0,13.0,725.0,85.0,,4.0,4.0,,6.0,"[14.8774796, 120.2344695]",14.8774796,120.2344695,2.0,Mixed,23.0
6071,6071,REGION III - CENTRAL LUZON,SUBIC,Galvanized iron/aluminum,360.0,304.0,,9.0,44.0,,1.0,2.0,,,"[14.8774796, 120.2344695]",14.8774796,120.2344695,2.0,Metal,23.0
6072,6072,REGION III - CENTRAL LUZON,SUBIC,Bamboo/sawali/cogon/nipa,2172.0,712.0,,28.0,1375.0,,17.0,32.0,1.0,7.0,"[14.8774796, 120.2344695]",14.8774796,120.2344695,2.0,Traditional,23.0
6073,6073,REGION III - CENTRAL LUZON,SUBIC,Asbestos,1.0,1.0,,,,,,,,,"[14.8774796, 120.2344695]",14.8774796,120.2344695,2.0,Makeshift/none,23.0
6074,6074,REGION III - CENTRAL LUZON,SUBIC,Glass,1.0,,1.0,,,,,,,,"[14.8774796, 120.2344695]",14.8774796,120.2344695,2.0,Mixed,23.0
6075,6075,REGION III - CENTRAL LUZON,SUBIC,Makeshift/salvaged/improvised materials,263.0,102.0,,2.0,34.0,,103.0,22.0,,,"[14.8774796, 120.2344695]",14.8774796,120.2344695,2.0,Makeshift/none,23.0
6076,6076,REGION III - CENTRAL LUZON,SUBIC,Trapal,183.0,57.0,,,29.0,,13.0,84.0,,,"[14.8774796, 120.2344695]",14.8774796,120.2344695,2.0,Makeshift/none,23.0
6077,6077,REGION III - CENTRAL LUZON,SUBIC,Others,6.0,,,,2.0,,,,4.0,,"[14.8774796, 120.2344695]",14.8774796,120.2344695,2.0,Others,23.0
6078,6078,REGION III - CENTRAL LUZON,SUBIC,No walls,3.0,1.0,,,1.0,,,1.0,,,"[14.8774796, 120.2344695]",14.8774796,120.2344695,2.0,Makeshift/none,23.0
6079,6079,REGION III - CENTRAL LUZON,SUBIC,Not Reported,106.0,72.0,,9.0,2.0,1.0,,,,22.0,"[14.8774796, 120.2344695]",14.8774796,120.2344695,2.0,Not reported,23.0
6080,6080,REGION III - CENTRAL LUZON,OLONGAPO CITY,Total,55265.0,50730.0,421.0,3059.0,506.0,10.0,310.0,168.0,11.0,50.0,"[14.8314675, 120.2835205]",14.8314675,120.2835205,1.0,Total,9.0
6081,6081,REGION III - CENTRAL LUZON,OLONGAPO CITY,Concrete/brick/stone,44132.0,43531.0,344.0,223.0,14.0,10.0,7.0,3.0,,,"[14.8314675, 120.2835205]",14.8314675,120.2835205,1.0,Concrete,9.0
6082,6082,REGION III - CENTRAL LUZON,OLONGAPO CITY,Wood,2851.0,2294.0,12.0,301.0,99.0,,79.0,55.0,4.0,7.0,"[14.8314675, 120.2835205]",14.8314675,120.2835205,1.0,Wood,9.0
6083,6083,REGION III - CENTRAL LUZON,OLONGAPO CITY,Half concrete/brick/stone and half wood,6819.0,4330.0,63.0,2370.0,31.0,,17.0,8.0,,,"[14.8314675, 120.2835205]",14.8314675,120.2835205,1.0,Mixed,9.0
6084,6084,REGION III - CENTRAL LUZON,OLONGAPO CITY,Galvanized iron/aluminum,304.0,151.0,1.0,130.0,21.0,,1.0,,,,"[14.8314675, 120.2835205]",14.8314675,120.2835205,1.0,Metal,9.0
6085,6085,REGION III - CENTRAL LUZON,OLONGAPO CITY,Bamboo/sawali/cogon/nipa,587.0,211.0,,15.0,323.0,,10.0,25.0,1.0,2.0,"[14.8314675, 120.2835205]",14.8314675,120.2835205,1.0,Traditional,9.0
6086,6086,REGION III - CENTRAL LUZON,OLONGAPO CITY,Asbestos,5.0,5.0,,,,,,,,,"[14.8314675, 120.2835205]",14.8314675,120.2835205,1.0,Makeshift/none,9.0
6087,6087,REGION III - CENTRAL LUZON,OLONGAPO CITY,Glass,6.0,4.0,1.0,1.0,,,,,,,"[14.8314675, 120.2835205]",14.8314675,120.2835205,1.0,Mixed,9.0
6088,6088,REGION III - CENTRAL LUZON,OLONGAPO CITY,Makeshift/salvaged/improvised materials,320.0,104.0,,10.0,7.0,,187.0,11.0,1.0,,"[14.8314675, 120.2835205]",14.8314675,120.2835205,1.0,Makeshift/none,9.0
6089,6089,REGION III - CENTRAL LUZON,OLONGAPO CITY,Trapal,129.0,42.0,,,11.0,,9.0,65.0,2.0,,"[14.8314675, 120.2835205]",14.8314675,120.2835205,1.0,Makeshift/none,9.0
6090,6090,REGION III - CENTRAL LUZON,OLONGAPO CITY,Others,7.0,4.0,,,,,,1.0,2.0,,"[14.8314675, 120.2835205]",14.8314675,120.2835205,1.0,Others,9.0
6091,6091,REGION III - CENTRAL LUZON,OLONGAPO CITY,No walls,3.0,3.0,,,,,,,,,"[14.8314675, 120.2835205]",14.8314675,120.2835205,1.0,Makeshift/none,9.0
6092,6092,REGION III - CENTRAL LUZON,OLONGAPO CITY,Not Reported,102.0,51.0,,9.0,,,,,1.0,41.0,"[14.8314675, 120.2835205]",14.8314675,120.2835205,1.0,Not reported,9.0
6093,6093,REGION IV-A - CALABARZON,REGIONAL,Total,3297110.0,2864528.0,93919.0,177334.0,131426.0,6360.0,13044.0,5731.0,2308.0,2460.0,,,,,Total,
6094,6094,REGION IV-A - CALABARZON,REGIONAL,Concrete/brick/stone,2327606.0,2205915.0,82266.0,29231.0,2914.0,5235.0,343.0,134.0,1089.0,479.0,,,,,Concrete,
6095,6095,REGION IV-A - CALABARZON,REGIONAL,Wood,327965.0,256199.0,4712.0,21455.0,39298.0,716.0,2926.0,1974.0,569.0,116.0,,,,,Wood,
6096,6096,REGION IV-A - CALABARZON,REGIONAL,Half concrete/brick/stone and half wood,414963.0,280054.0,6355.0,120235.0,6941.0,120.0,966.0,129.0,147.0,16.0,,,,,Mixed,
6097,6097,REGION IV-A - CALABARZON,REGIONAL,Galvanized iron/aluminum,24700.0,20806.0,395.0,1681.0,1686.0,13.0,66.0,38.0,12.0,3.0,,,,,Metal,
6098,6098,REGION IV-A - CALABARZON,REGIONAL,Bamboo/sawali/cogon/nipa,168084.0,83112.0,,3631.0,78344.0,,1118.0,1456.0,250.0,173.0,,,,,Traditional,
6099,6099,REGION IV-A - CALABARZON,REGIONAL,Asbestos,1463.0,1144.0,36.0,29.0,,254.0,,,,,,,,,Makeshift/none,
6100,6100,REGION IV-A - CALABARZON,REGIONAL,Glass,452.0,218.0,81.0,146.0,,5.0,,,2.0,,,,,,Mixed,
6101,6101,REGION IV-A - CALABARZON,REGIONAL,Makeshift/salvaged/improvised materials,18109.0,8288.0,,498.0,1413.0,,7360.0,523.0,27.0,,,,,,Makeshift/none,
6102,6102,REGION IV-A - CALABARZON,REGIONAL,Trapal,3689.0,1602.0,,,398.0,,241.0,1434.0,14.0,,,,,,Makeshift/none,
6103,6103,REGION IV-A - CALABARZON,REGIONAL,Others,1325.0,931.0,9.0,13.0,138.0,3.0,8.0,32.0,191.0,,,,,,Others,
6104,6104,REGION IV-A - CALABARZON,REGIONAL,No walls,881.0,557.0,24.0,98.0,168.0,,16.0,11.0,7.0,,,,,,Makeshift/none,
6105,6105,REGION IV-A - CALABARZON,REGIONAL,Not Reported,7873.0,5702.0,41.0,317.0,126.0,14.0,,,,1673.0,,,,,Not reported,
6106,6106,REGION IV-A - CALABARZON,BATANGAS,Total,597758.0,522538.0,15563.0,37610.0,18634.0,157.0,1920.0,713.0,262.0,361.0,"[13.7558718, 121.0584755]",13.7558718,121.0584755,-2.0,Total,12.0
6107,6107,REGION IV-A - CALABARZON,BATANGAS,Concrete/brick/stone,430703.0,410715.0,13291.0,5978.0,455.0,72.0,48.0,17.0,120.0,7.0,"[13.7558718, 121.0584755]",13.7558718,121.0584755,-2.0,Concrete,12.0
6108,6108,REGION IV-A - CALABARZON,BATANGAS,Wood,34601.0,27396.0,775.0,2704.0,3310.0,20.0,219.0,147.0,27.0,3.0,"[13.7558718, 121.0584755]",13.7558718,121.0584755,-2.0,Wood,12.0
6109,6109,REGION IV-A - CALABARZON,BATANGAS,Half concrete/brick/stone and half wood,84996.0,55628.0,1337.0,26776.0,1072.0,12.0,135.0,15.0,21.0,,"[13.7558718, 121.0584755]",13.7558718,121.0584755,-2.0,Mixed,12.0
6110,6110,REGION IV-A - CALABARZON,BATANGAS,Galvanized iron/aluminum,4521.0,3361.0,105.0,619.0,427.0,1.0,6.0,2.0,,,"[13.7558718, 121.0584755]",13.7558718,121.0584755,-2.0,Metal,12.0
6111,6111,REGION IV-A - CALABARZON,BATANGAS,Bamboo/sawali/cogon/nipa,37823.0,22831.0,,1221.0,13143.0,,299.0,224.0,62.0,43.0,"[13.7558718, 121.0584755]",13.7558718,121.0584755,-2.0,Traditional,12.0
6112,6112,REGION IV-A - CALABARZON,BATANGAS,Asbestos,150.0,94.0,4.0,3.0,,49.0,,,,,"[13.7558718, 121.0584755]",13.7558718,121.0584755,-2.0,Makeshift/none,12.0
6113,6113,REGION IV-A - CALABARZON,BATANGAS,Glass,260.0,72.0,47.0,140.0,,1.0,,,,,"[13.7558718, 121.0584755]",13.7558718,121.0584755,-2.0,Mixed,12.0
6114,6114,REGION IV-A - CALABARZON,BATANGAS,Makeshift/salvaged/improvised materials,2406.0,986.0,,109.0,112.0,,1151.0,41.0,7.0,,"[13.7558718, 121.0584755]",13.7558718,121.0584755,-2.0,Makeshift/none,12.0
6115,6115,REGION IV-A - CALABARZON,BATANGAS,Trapal,678.0,278.0,,,81.0,,59.0,260.0,,,"[13.7558718, 121.0584755]",13.7558718,121.0584755,-2.0,Makeshift/none,12.0
6116,6116,REGION IV-A - CALABARZON,BATANGAS,Others,326.0,276.0,1.0,5.0,11.0,1.0,2.0,6.0,24.0,,"[13.7558718, 121.0584755]",13.7558718,121.0584755,-2.0,Others,12.0
6117,6117,REGION IV-A - CALABARZON,BATANGAS,No walls,73.0,57.0,1.0,1.0,11.0,,1.0,1.0,1.0,,"[13.7558718, 121.0584755]",13.7558718,121.0584755,-2.0,Makeshift/none,12.0
6118,6118,REGION IV-A - CALABARZON,BATANGAS,Not Reported,1221.0,844.0,2.0,54.0,12.0,1.0,,,,308.0,"[13.7558718, 121.0584755]",13.7558718,121.0584755,-2.0,Not reported,12.0
6119,6119,REGION IV-A - CALABARZON,AGONCILLO,Total,7806.0,7407.0,39.0,70.0,276.0,,6.0,5.0,1.0,2.0,"[13.934844, 120.92859]",13.934844,120.92859,-6.0,Total,63.0
6120,6120,REGION IV-A - CALABARZON,AGONCILLO,Concrete/brick/stone,6162.0,6111.0,35.0,11.0,5.0,,,,,,"[13.934844, 120.92859]",13.934844,120.92859,-6.0,Concrete,63.0
6121,6121,REGION IV-A - CALABARZON,AGONCILLO,Wood,227.0,180.0,3.0,1.0,42.0,,1.0,,,,"[13.934844, 120.92859]",13.934844,120.92859,-6.0,Wood,63.0
6122,6122,REGION IV-A - CALABARZON,AGONCILLO,Half concrete/brick/stone and half wood,529.0,465.0,1.0,47.0,14.0,,1.0,1.0,,,"[13.934844, 120.92859]",13.934844,120.92859,-6.0,Mixed,63.0
6123,6123,REGION IV-A - CALABARZON,AGONCILLO,Galvanized iron/aluminum,226.0,214.0,,10.0,2.0,,,,,,"[13.934844, 120.92859]",13.934844,120.92859,-6.0,Metal,63.0
6124,6124,REGION IV-A - CALABARZON,AGONCILLO,Bamboo/sawali/cogon/nipa,622.0,403.0,,1.0,210.0,,2.0,3.0,1.0,2.0,"[13.934844, 120.92859]",13.934844,120.92859,-6.0,Traditional,63.0
6125,6125,REGION IV-A - CALABARZON,AGONCILLO,Asbestos,2.0,2.0,,,,,,,,,"[13.934844, 120.92859]",13.934844,120.92859,-6.0,Makeshift/none,63.0
6126,6126,REGION IV-A - CALABARZON,AGONCILLO,Glass,,,,,,,,,,,"[13.934844, 120.92859]",13.934844,120.92859,-6.0,Mixed,63.0
6127,6127,REGION IV-A - CALABARZON,AGONCILLO,Makeshift/salvaged/improvised materials,7.0,2.0,,,2.0,,2.0,1.0,,,"[13.934844, 120.92859]",13.934844,120.92859,-6.0,Makeshift/none,63.0
6128,6128,REGION IV-A - CALABARZON,AGONCILLO,Trapal,2.0,2.0,,,,,,,,,"[13.934844, 120.92859]",13.934844,120.92859,-6.0,Makeshift/none,63.0
6129,6129,REGION IV-A - CALABARZON,AGONCILLO,Others,18.0,17.0,,,1.0,,,,,,"[13.934844, 120.92859]",13.934844,120.92859,-6.0,Others,63.0
6130,6130,REGION IV-A - CALABARZON,AGONCILLO,No walls,3.0,3.0,,,,,,,,,"[13.934844, 120.92859]",13.934844,120.92859,-6.0,Makeshift/none,63.0
6131,6131,REGION IV-A - CALABARZON,AGONCILLO,Not Reported,8.0,8.0,,,,,,,,,"[13.934844, 120.92859]",13.934844,120.92859,-6.0,Not reported,63.0
6132,6132,REGION IV-A - CALABARZON,ALITAGTAG,Total,5089.0,4051.0,401.0,395.0,226.0,,8.0,8.0,,,"[13.8657814, 121.0058843]",13.8657814,121.0058843,-9.0,Total,214.0
6133,6133,REGION IV-A - CALABARZON,ALITAGTAG,Concrete/brick/stone,3466.0,3032.0,374.0,59.0,1.0,,,,,,"[13.8657814, 121.0058843]",13.8657814,121.0058843,-9.0,Concrete,214.0
6134,6134,REGION IV-A - CALABARZON,ALITAGTAG,Wood,278.0,229.0,15.0,14.0,19.0,,1.0,,,,"[13.8657814, 121.0058843]",13.8657814,121.0058843,-9.0,Wood,214.0
6135,6135,REGION IV-A - CALABARZON,ALITAGTAG,Half concrete/brick/stone and half wood,830.0,499.0,11.0,308.0,12.0,,,,,,"[13.8657814, 121.0058843]",13.8657814,121.0058843,-9.0,Mixed,214.0
6136,6136,REGION IV-A - CALABARZON,ALITAGTAG,Galvanized iron/aluminum,31.0,31.0,,,,,,,,,"[13.8657814, 121.0058843]",13.8657814,121.0058843,-9.0,Metal,214.0
6137,6137,REGION IV-A - CALABARZON,ALITAGTAG,Bamboo/sawali/cogon/nipa,444.0,237.0,,9.0,190.0,,1.0,7.0,,,"[13.8657814, 121.0058843]",13.8657814,121.0058843,-9.0,Traditional,214.0
6138,6138,REGION IV-A - CALABARZON,ALITAGTAG,Asbestos,,,,,,,,,,,"[13.8657814, 121.0058843]",13.8657814,121.0058843,-9.0,Makeshift/none,214.0
6139,6139,REGION IV-A - CALABARZON,ALITAGTAG,Glass,,,,,,,,,,,"[13.8657814, 121.0058843]",13.8657814,121.0058843,-9.0,Mixed,214.0
6140,6140,REGION IV-A - CALABARZON,ALITAGTAG,Makeshift/salvaged/improvised materials,24.0,14.0,,2.0,2.0,,6.0,,,,"[13.8657814, 121.0058843]",13.8657814,121.0058843,-9.0,Makeshift/none,214.0
6141,6141,REGION IV-A - CALABARZON,ALITAGTAG,Trapal,1.0,,,,,,,1.0,,,"[13.8657814, 121.0058843]",13.8657814,121.0058843,-9.0,Makeshift/none,214.0
6142,6142,REGION IV-A - CALABARZON,ALITAGTAG,Others,3.0,3.0,,,,,,,,,"[13.8657814, 121.0058843]",13.8657814,121.0058843,-9.0,Others,214.0
6143,6143,REGION IV-A - CALABARZON,ALITAGTAG,No walls,2.0,2.0,,,,,,,,,"[13.8657814, 121.0058843]",13.8657814,121.0058843,-9.0,Makeshift/none,214.0
6144,6144,REGION IV-A - CALABARZON,ALITAGTAG,Not Reported,10.0,4.0,1.0,3.0,2.0,,,,,,"[13.8657814, 121.0058843]",13.8657814,121.0058843,-9.0,Not reported,214.0
6145,6145,REGION IV-A - CALABARZON,BALAYAN,Total,20414.0,17286.0,508.0,1768.0,766.0,3.0,59.0,17.0,3.0,4.0,"[13.9382014, 120.7294838]",13.9382014,120.7294838,2.0,Total,8.0
6146,6146,REGION IV-A - CALABARZON,BALAYAN,Concrete/brick/stone,15177.0,14293.0,453.0,391.0,36.0,1.0,,1.0,2.0,,"[13.9382014, 120.7294838]",13.9382014,120.7294838,2.0,Concrete,8.0
6147,6147,REGION IV-A - CALABARZON,BALAYAN,Wood,733.0,573.0,13.0,42.0,93.0,,9.0,3.0,,,"[13.9382014, 120.7294838]",13.9382014,120.7294838,2.0,Wood,8.0
6148,6148,REGION IV-A - CALABARZON,BALAYAN,Half concrete/brick/stone and half wood,3034.0,1710.0,31.0,1241.0,48.0,2.0,2.0,,,,"[13.9382014, 120.7294838]",13.9382014,120.7294838,2.0,Mixed,8.0
6149,6149,REGION IV-A - CALABARZON,BALAYAN,Galvanized iron/aluminum,115.0,80.0,11.0,16.0,8.0,,,,,,"[13.9382014, 120.7294838]",13.9382014,120.7294838,2.0,Metal,8.0
6150,6150,REGION IV-A - CALABARZON,BALAYAN,Bamboo/sawali/cogon/nipa,1185.0,515.0,,68.0,574.0,,16.0,7.0,1.0,4.0,"[13.9382014, 120.7294838]",13.9382014,120.7294838,2.0,Traditional,8.0
6151,6151,REGION IV-A - CALABARZON,BALAYAN,Asbestos,2.0,2.0,,,,,,,,,"[13.9382014, 120.7294838]",13.9382014,120.7294838,2.0,Makeshift/none,8.0
6152,6152,REGION IV-A - CALABARZON,BALAYAN,Glass,,,,,,,,,,,"[13.9382014, 120.7294838]",13.9382014,120.7294838,2.0,Mixed,8.0
6153,6153,REGION IV-A - CALABARZON,BALAYAN,Makeshift/salvaged/improvised materials,68.0,33.0,,2.0,3.0,,29.0,1.0,,,"[13.9382014, 120.7294838]",13.9382014,120.7294838,2.0,Makeshift/none,8.0
6154,6154,REGION IV-A - CALABARZON,BALAYAN,Trapal,16.0,9.0,,,2.0,,2.0,3.0,,,"[13.9382014, 120.7294838]",13.9382014,120.7294838,2.0,Makeshift/none,8.0
6155,6155,REGION IV-A - CALABARZON,BALAYAN,Others,58.0,53.0,,,2.0,,1.0,2.0,,,"[13.9382014, 120.7294838]",13.9382014,120.7294838,2.0,Others,8.0
6156,6156,REGION IV-A - CALABARZON,BALAYAN,No walls,7.0,7.0,,,,,,,,,"[13.9382014, 120.7294838]",13.9382014,120.7294838,2.0,Makeshift/none,8.0
6157,6157,REGION IV-A - CALABARZON,BALAYAN,Not Reported,19.0,11.0,,8.0,,,,,,,"[13.9382014, 120.7294838]",13.9382014,120.7294838,2.0,Not reported,8.0
6158,6158,REGION IV-A - CALABARZON,BALETE,Total,4580.0,4150.0,165.0,77.0,118.0,,61.0,6.0,1.0,2.0,"[14.0173703, 121.0953576]",14.0173703,121.0953576,-26.0,Total,16.0
6159,6159,REGION IV-A - CALABARZON,BALETE,Concrete/brick/stone,3418.0,3243.0,164.0,5.0,4.0,,,2.0,,,"[14.0173703, 121.0953576]",14.0173703,121.0953576,-26.0,Concrete,16.0
6160,6160,REGION IV-A - CALABARZON,BALETE,Wood,183.0,162.0,,3.0,17.0,,,1.0,,,"[14.0173703, 121.0953576]",14.0173703,121.0953576,-26.0,Wood,16.0
6161,6161,REGION IV-A - CALABARZON,BALETE,Half concrete/brick/stone and half wood,466.0,406.0,1.0,52.0,4.0,,2.0,1.0,,,"[14.0173703, 121.0953576]",14.0173703,121.0953576,-26.0,Mixed,16.0
6162,6162,REGION IV-A - CALABARZON,BALETE,Galvanized iron/aluminum,130.0,115.0,,14.0,1.0,,,,,,"[14.0173703, 121.0953576]",14.0173703,121.0953576,-26.0,Metal,16.0
6163,6163,REGION IV-A - CALABARZON,BALETE,Bamboo/sawali/cogon/nipa,299.0,201.0,,2.0,92.0,,2.0,2.0,,,"[14.0173703, 121.0953576]",14.0173703,121.0953576,-26.0,Traditional,16.0
6164,6164,REGION IV-A - CALABARZON,BALETE,Asbestos,,,,,,,,,,,"[14.0173703, 121.0953576]",14.0173703,121.0953576,-26.0,Makeshift/none,16.0
6165,6165,REGION IV-A - CALABARZON,BALETE,Glass,,,,,,,,,,,"[14.0173703, 121.0953576]",14.0173703,121.0953576,-26.0,Mixed,16.0
6166,6166,REGION IV-A - CALABARZON,BALETE,Makeshift/salvaged/improvised materials,79.0,20.0,,1.0,,,57.0,,1.0,,"[14.0173703, 121.0953576]",14.0173703,121.0953576,-26.0,Makeshift/none,16.0
6167,6167,REGION IV-A - CALABARZON,BALETE,Trapal,1.0,1.0,,,,,,,,,"[14.0173703, 121.0953576]",14.0173703,121.0953576,-26.0,Makeshift/none,16.0
6168,6168,REGION IV-A - CALABARZON,BALETE,Others,,,,,,,,,,,"[14.0173703, 121.0953576]",14.0173703,121.0953576,-26.0,Others,16.0
6169,6169,REGION IV-A - CALABARZON,BALETE,No walls,1.0,1.0,,,,,,,,,"[14.0173703, 121.0953576]",14.0173703,121.0953576,-26.0,Makeshift/none,16.0
6170,6170,REGION IV-A - CALABARZON,BALETE,Not Reported,3.0,1.0,,,,,,,,2.0,"[14.0173703, 121.0953576]",14.0173703,121.0953576,-26.0,Not reported,16.0
6171,6171,REGION IV-A - CALABARZON,BATANGAS CITY (Capital),Total,75485.0,67807.0,1711.0,3394.0,2066.0,12.0,167.0,103.0,126.0,99.0,"[13.7558718, 121.0584755]",13.7558718,121.0584755,-2.0,Total,12.0
6172,6172,REGION IV-A - CALABARZON,BATANGAS CITY (Capital),Concrete/brick/stone,56957.0,54651.0,1556.0,601.0,53.0,5.0,3.0,3.0,83.0,2.0,"[13.7558718, 121.0584755]",13.7558718,121.0584755,-2.0,Concrete,12.0
